,bpm,time_signature,instrument,genre,key,min_vel,max_vel,rhythm,num_measures,file_name,track_role,chord_progression
55,120,4/4,48,cinematic,cmajor,101,102,standard,8,commu00001.mid,main_melody,"['F', 'C', 'Dm', 'A#', 'F', 'C', 'Em', 'D']"
0,80,4/4,0,newage,cmajor,23,30,standard,8,commu00002.mid,accompaniment,"['C', 'Dm', 'G', 'C', 'Am', 'F', 'G', 'C']"
1,150,4/4,40,cinematic,aminor,123,127,standard,8,commu00003.mid,riff,"['Am', 'Am', 'F', 'F', 'C', 'C', 'E', 'E']"
2,110,4/4,52,cinematic,aminor,45,46,standard,8,commu00004.mid,pad,"['D', 'Am', 'D', 'Am', 'Em', 'C', 'G', 'A']"
3,60,4/4,0,cinematic,cmajor,21,22,standard,4,commu00005.mid,pad,"['Em', 'C', 'Em', 'C']"
4,120,4/4,48,-1,cmajor,121,122,standard,4,commu00006_0_sample0.mid,riff,"['Dm', 'F', 'C', 'G']"
5,110,4/4,48,cinematic,cmajor,87,95,standard,8,commu00007.mid,accompaniment,"['Gm', 'C', 'Gm', 'C', 'Gm', 'C', 'D', 'D']"
56,120,4/4,61,cinematic,aminor,68,91,standard,4,commu00008.mid,main_melody,"['D', 'A', 'A', 'D']"
6,120,4/4,40,cinematic,cmajor,117,126,standard,8,commu00009.mid,riff,"['C', 'Dm', 'Am', 'C', 'C', 'Dm', 'Am', 'G']"
7,150,4/4,48,cinematic,aminor,113,122,standard,8,commu00010.mid,accompaniment,"['Am', 'Am', 'F', 'F', 'C', 'C', 'E', 'E']"
57,60,4/4,48,cinematic,aminor,21,22,triplet,4,commu00011.mid,main_melody,"['Em', 'C', 'Em', 'Am']"
8,150,4/4,40,cinematic,aminor,123,127,standard,8,commu00012.mid,riff,"['Am', 'Am', 'E', 'E', 'F', 'F', 'E', 'E']"
9,130,4/4,0,newage,cmajor,55,56,standard,4,commu00013.mid,pad,"['Am', 'F', 'C', 'G']"
58,60,4/4,48,cinematic,aminor,41,42,standard,4,commu00014.mid,main_melody,"['C', 'Am', 'G', 'C']"
10,60,4/4,48,cinematic,aminor,22,24,standard,7,commu00015.mid,pad,"['Am', 'Dm', 'E', 'Am', 'Am', 'Am', 'Am', 'Am']"
11,120,4/4,0,-1,cmajor,95,96,standard,4,commu00016_0_sample0.mid,pad,"['Em', 'C', 'G', 'D']"
59,110,4/4,8,cinematic,aminor,75,76,standard,8,commu00017.mid,main_melody,"['D', 'Am', 'D', 'Am', 'Em', 'C', 'G', 'A']"
12,120,4/4,40,cinematic,cmajor,115,116,standard,8,commu00018.mid,riff,"['C', 'C', 'C', 'F', 'Am', 'Am', 'G', 'G']"
60,150,4/4,61,cinematic,aminor,84,90,standard,8,commu00019.mid,main_melody,"['F', 'Am', 'F', 'C', 'Em', 'Am', 'Em', 'Em']"
13,50,4/4,61,-1,cmajor,82,82,standard,4,commu00020_0_sample0.mid,pad,"['C', 'Dm', 'C', 'A#']"
61,135,4/4,70,cinematic,cmajor,103,104,standard,7,commu00021.mid,main_melody,"['C', 'G', 'Am', 'Dm', 'C', 'G', 'Am', 'Dm']"
62,110,4/4,73,cinematic,cmajor,67,70,standard,11,commu00022.mid,main_melody,"['G', 'Dm', 'G', 'Dm', 'G', 'Dm', 'Am', 'C', 'C', 'F', 'Dm', 'G']"
14,65,4/4,48,newage,cmajor,55,58,standard,4,commu00023.mid,pad,"['F', 'Em', 'Dm', 'C']"
63,80,4/4,0,newage,cmajor,23,30,standard,8,commu00024.mid,main_melody,"['C', 'F', 'F', 'C', 'Am', 'F', 'Dm', 'C']"
97,50,4/4,0,-1,aminor,71,72,standard,4,commu00025_0_sample0.mid,bass,"['D', 'E', 'D', 'C']"
64,60,4/4,48,cinematic,aminor,21,22,standard,4,commu00026.mid,main_melody,"['Am', 'D', 'Em', 'C']"
15,150,4/4,40,cinematic,aminor,123,127,standard,8,commu00027.mid,riff,"['Am', 'Am', 'E', 'E', 'F', 'F', 'E', 'E']"
16,110,4/4,0,cinematic,aminor,51,52,standard,8,commu00028.mid,accompaniment,"['D', 'Am', 'D', 'Am', 'Em', 'C', 'G', 'A']"
17,110,4/4,48,cinematic,aminor,113,122,triplet,8,commu00029.mid,riff,"['Am', 'E', 'Am', 'E', 'Am', 'E', 'F', 'E']"
18,110,4/4,0,cinematic,aminor,53,62,triplet,8,commu00030.mid,accompaniment,"['Am', 'D', 'Am', 'D', 'Am', 'D', 'E', 'E']"
19,110,4/4,0,cinematic,aminor,81,84,standard,8,commu00031.mid,accompaniment,"['D', 'Am', 'D', 'Am', 'Em', 'C', 'G', 'A']"
65,110,4/4,73,cinematic,cmajor,91,92,standard,9,commu00032.mid,main_melody,"['D#', 'D#', 'Cm', 'D#', 'D#', 'Gm', 'D', 'D', 'D', 'D', 'D', 'D']"
20,120,4/4,48,-1,cmajor,121,122,standard,4,commu00033_0_sample0.mid,accompaniment,"['Dm', 'F', 'C', 'G']"
21,120,4/4,40,cinematic,cmajor,115,116,standard,8,commu00034.mid,riff,"['C', 'G', 'Am', 'F', 'C', 'Em', 'Am', 'F']"
22,120,4/4,48,cinematic,cmajor,115,122,standard,4,commu00035.mid,accompaniment,"['G', 'D', 'Em', 'C']"
23,70,4/4,0,newage,cmajor,21,24,standard,8,commu00036.mid,accompaniment,"['Am', 'Em', 'F', 'Em', 'Am', 'Em', 'F', 'E']"
66,100,4/4,8,cinematic,cmajor,61,62,standard,8,commu00037.mid,main_melody,"['Cm', 'A#', 'C', 'Gm', 'D#', 'F', 'C', 'Gm']"
24,100,4/4,48,newage,cmajor,99,100,standard,4,commu00038.mid,accompaniment,"['F', 'Em', 'F', 'Em']"
67,100,4/4,48,cinematic,aminor,101,102,standard,8,commu00039.mid,main_melody,"['A', 'G', 'A', 'Em', 'C', 'D', 'A', 'Em']"
68,110,4/4,73,cinematic,aminor,90,98,standard,8,commu00040.mid,main_melody,"['Am', 'E', 'Am', 'E', 'Am', 'E', 'F', 'E']"
69,80,4/4,0,newage,aminor,21,22,standard,8,commu00041.mid,main_melody,"['C', 'F', 'C', 'F', 'C', 'F', 'C', 'F']"
