,Unnamed: 0,bpm,time_signature,instrument,genre,key,min_vel,max_vel,rhythm,num_measures,file_name,track_role,chord_progression
1,1,120,4/4,string_ensemble,cinematic,cmajor,101,102,standard,8,commu00001.mid,main_melody,"['F', 'Am', 'Em', 'F', 'F', 'Am', 'Em', 'D']"
8,8,80,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00002.mid,accompaniment,"['C', 'Dm', 'G', 'C', 'Am', 'F', 'G', 'C']"
9,9,150,4/4,string_violin,cinematic,aminor,123,127,standard,8,commu00003.mid,riff,"['Am', 'Am', 'F', 'F', 'C', 'C', 'E', 'E']"
10,10,110,4/4,choir,cinematic,aminor,45,46,standard,8,commu00004.mid,pad,"['D', 'Am', 'D', 'Am', 'Em', 'C', 'G', 'A']"
11,11,60,4/4,acoustic_piano,cinematic,cmajor,21,22,standard,4,commu00005.mid,pad,"['Em', 'C', 'Em', 'C']"
12,12,120,4/4,string_ensemble,cinematic,cmajor,121,122,standard,4,commu00006_0_sample0.mid,riff,"['Dm', 'F', 'C', 'G']"
13,13,110,4/4,string_ensemble,cinematic,cmajor,87,95,standard,8,commu00007.mid,accompaniment,"['Gm', 'C', 'Gm', 'C', 'Gm', 'C', 'D', 'D']"
14,14,120,4/4,brass_ensemble,cinematic,aminor,68,91,standard,4,commu00008.mid,sub_melody,"['D', 'A', 'A', 'D']"
15,15,120,4/4,brass_ensemble,cinematic,aminor,68,91,standard,4,commu00008.mid,sub_melody,"['Dm', 'Am', 'A#', 'A#']"
16,16,120,4/4,brass_ensemble,cinematic,aminor,68,91,standard,4,commu00008.mid,sub_melody,"['Bm', 'Em', 'C', 'G']"
17,17,120,4/4,brass_ensemble,cinematic,aminor,68,91,standard,4,commu00008.mid,sub_melody,"['Em', 'Am', 'Em', 'G']"
18,18,120,4/4,brass_ensemble,cinematic,aminor,68,91,standard,4,commu00008.mid,sub_melody,"['Em', 'F', 'C', 'G']"
19,19,120,4/4,brass_ensemble,cinematic,aminor,68,91,standard,4,commu00008.mid,sub_melody,"['C', 'Em', 'Am', 'G']"
20,20,120,4/4,brass_ensemble,cinematic,aminor,68,91,standard,4,commu00008.mid,sub_melody,"['Bm', 'G', 'A', 'G']"
21,21,120,4/4,brass_ensemble,cinematic,aminor,68,91,standard,4,commu00008.mid,sub_melody,"['D', 'Am', 'Em', 'G']"
22,22,120,4/4,brass_ensemble,cinematic,aminor,68,91,standard,4,commu00008.mid,sub_melody,"['Am', 'Em', 'C', 'G']"
23,23,120,4/4,string_violin,cinematic,cmajor,117,126,standard,8,commu00009.mid,riff,"['C', 'Dm', 'Am', 'C', 'C', 'Dm', 'Am', 'G']"
24,24,150,4/4,string_ensemble,cinematic,aminor,113,122,standard,8,commu00010.mid,accompaniment,"['Am', 'Am', 'F', 'F', 'C', 'C', 'E', 'E']"
25,25,60,4/4,string_ensemble,cinematic,aminor,21,22,triplet,4,commu00011.mid,main_melody,"['Am', 'Em', 'F', 'F']"
26,26,60,4/4,string_ensemble,cinematic,aminor,21,22,triplet,4,commu00011.mid,main_melody,"['Em', 'C', 'Em', 'Am']"
27,27,60,4/4,string_ensemble,cinematic,aminor,21,22,triplet,4,commu00011.mid,main_melody,"['Bm', 'Em', 'Bm', 'C']"
28,28,60,4/4,string_ensemble,cinematic,aminor,21,22,triplet,4,commu00011.mid,main_melody,"['Em', 'C', 'G', 'C']"
29,29,60,4/4,string_ensemble,cinematic,aminor,21,22,triplet,4,commu00011.mid,main_melody,"['Em', 'Am', 'Em', 'C']"
30,30,60,4/4,string_ensemble,cinematic,aminor,21,22,triplet,4,commu00011.mid,main_melody,"['C', 'Em', 'Am', 'F']"
31,31,60,4/4,string_ensemble,cinematic,aminor,21,22,triplet,4,commu00011.mid,main_melody,"['Em', 'Am', 'G', 'C']"
32,32,150,4/4,string_violin,cinematic,aminor,123,127,standard,8,commu00012.mid,riff,"['Am', 'Am', 'E', 'E', 'F', 'F', 'E', 'E']"
33,33,130,4/4,acoustic_piano-2,newage,cmajor,55,56,standard,4,commu00013.mid,pad,"['Am', 'F', 'C', 'G']"
34,34,60,4/4,string_ensemble,cinematic,aminor,41,42,standard,4,commu00014.mid,sub_melody,"['Am', 'F', 'C', 'C']"
35,35,60,4/4,string_ensemble,cinematic,aminor,41,42,standard,4,commu00014.mid,sub_melody,"['C', 'Am', 'Bm', 'Em']"
36,36,60,4/4,string_ensemble,cinematic,aminor,41,42,standard,4,commu00014.mid,sub_melody,"['C', 'C', 'Em', 'Em']"
37,37,60,4/4,string_ensemble,cinematic,aminor,41,42,standard,4,commu00014.mid,sub_melody,"['C', 'Am', 'G', 'C']"
38,38,60,4/4,string_ensemble,cinematic,aminor,41,42,standard,4,commu00014.mid,sub_melody,"['C', 'Am', 'Em', 'Em']"
39,39,60,4/4,string_ensemble,cinematic,aminor,41,42,standard,4,commu00014.mid,sub_melody,"['Am', 'C', 'G', 'C']"
40,40,60,4/4,string_ensemble,cinematic,aminor,41,42,standard,4,commu00014.mid,sub_melody,"['Am', 'G', 'G', 'Em']"
41,41,60,4/4,string_ensemble,cinematic,aminor,41,42,standard,4,commu00014.mid,sub_melody,"['C', 'F', 'E', 'Am']"
42,42,60,4/4,string_ensemble,cinematic,aminor,22,24,standard,4,commu00015.mid,pad,"['Am', 'Dm', 'E', 'Am', 'Am', 'Am', 'Am', 'Am']"
43,43,120,4/4,acoustic_piano,cinematic,cmajor,95,96,standard,4,commu00016_0_sample0.mid,pad,"['Em', 'C', 'G', 'D']"
44,44,110,4/4,celesta,cinematic,aminor,75,76,standard,8,commu00017.mid,main_melody,"['Dm', 'Am', 'A#', 'C', 'Dm', 'Am', 'A#', 'A']"
46,46,110,4/4,celesta,cinematic,aminor,75,76,standard,8,commu00017.mid,main_melody,"['D', 'Am', 'D', 'Am', 'Em', 'C', 'G', 'A']"
49,49,120,4/4,string_violin,cinematic,cmajor,115,116,standard,8,commu00018.mid,riff,"['C', 'C', 'C', 'F', 'Am', 'Am', 'G', 'G']"
50,50,150,4/4,brass_ensemble,cinematic,aminor,84,90,standard,8,commu00019.mid,main_melody,"['G', 'C', 'F', 'F', 'C', 'C', 'Am', 'G']"
51,51,150,4/4,brass_ensemble,cinematic,aminor,84,90,standard,8,commu00019.mid,main_melody,"['Dm', 'Am', 'A#', 'C', 'Dm', 'Am', 'A#', 'G']"
52,52,150,4/4,brass_ensemble,cinematic,aminor,84,90,standard,8,commu00019.mid,main_melody,"['F', 'Am', 'F', 'C', 'Em', 'Am', 'Em', 'Em']"
54,54,150,4/4,brass_ensemble,cinematic,aminor,84,90,standard,8,commu00019.mid,main_melody,"['Am', 'C', 'F', 'C', 'F', 'C', 'Am', 'G']"
55,55,150,4/4,brass_ensemble,cinematic,aminor,84,90,standard,8,commu00019.mid,main_melody,"['Am', 'G', 'F', 'F', 'C', 'C', 'Am', 'G']"
56,56,150,4/4,brass_ensemble,cinematic,aminor,84,90,standard,8,commu00019.mid,main_melody,"['C', 'Am', 'F', 'C', 'Em', 'Am', 'Em', 'Em']"
58,58,50,4/4,brass_ensemble,newage,cmajor,82,82,standard,4,commu00020_0_sample0.mid,pad,"['C', 'Dm', 'C', 'A#']"
59,59,135,4/4,bassoon-2,cinematic,cmajor,103,104,standard,7,commu00021.mid,main_melody,"['Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C']"
65,65,65,4/4,string_ensemble,newage,cmajor,55,58,standard,4,commu00023.mid,pad,"['F', 'Em', 'Dm', 'C']"
66,66,80,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00024.mid,main_melody,"['C', 'F', 'F', 'C', 'Am', 'F', 'Dm', 'C']"
67,67,80,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00024.mid,main_melody,"['Em', 'Dm', 'G', 'C', 'Am', 'F', 'Dm', 'C']"
68,68,80,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00024.mid,main_melody,"['Am', 'Dm', 'G', 'C', 'Am', 'F', 'Dm', 'C']"
