,Unnamed: 0.1,bpm,time_signature,instrument,genre,key,min_vel,max_vel,rhythm,num_measures,file_name,track_role,chord_progression,beat_type
0,1.0,120,4/4,string_ensemble,cinematic,cmajor,101,102,standard,8,commu00001.mid,main_melody,"['F', 'Am', 'Em', 'F', 'F', 'Am', 'Em', 'D']",
1,8.0,80,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00002.mid,accompaniment,"['C', 'Dm', 'G', 'C', 'Am', 'F', 'G', 'C']",
2,9.0,150,4/4,string_violin,cinematic,aminor,123,127,standard,8,commu00003.mid,riff,"['Am', 'Am', 'F', 'F', 'C', 'C', 'E', 'E']",
3,10.0,110,4/4,choir,cinematic,aminor,45,46,standard,8,commu00004.mid,pad,"['D', 'Am', 'D', 'Am', 'Em', 'C', 'G', 'A']",
4,11.0,60,4/4,acoustic_piano,cinematic,cmajor,21,22,standard,4,commu00005.mid,pad,"['Em', 'C', 'Em', 'C']",
5,12.0,120,4/4,string_ensemble,cinematic,cmajor,121,122,standard,4,commu00006_0_sample0.mid,riff,"['Dm', 'F', 'C', 'G']",
6,13.0,110,4/4,string_ensemble,cinematic,cmajor,87,95,standard,8,commu00007.mid,accompaniment,"['Gm', 'C', 'Gm', 'C', 'Gm', 'C', 'D', 'D']",
7,14.0,120,4/4,brass_ensemble,cinematic,aminor,68,91,standard,4,commu00008.mid,sub_melody,"['D', 'A', 'A', 'D']",
8,15.0,120,4/4,brass_ensemble,cinematic,aminor,68,91,standard,4,commu00008.mid,sub_melody,"['Dm', 'Am', 'A#', 'A#']",
9,16.0,120,4/4,brass_ensemble,cinematic,aminor,68,91,standard,4,commu00008.mid,sub_melody,"['Bm', 'Em', 'C', 'G']",
10,17.0,120,4/4,brass_ensemble,cinematic,aminor,68,91,standard,4,commu00008.mid,sub_melody,"['Em', 'Am', 'Em', 'G']",
11,18.0,120,4/4,brass_ensemble,cinematic,aminor,68,91,standard,4,commu00008.mid,sub_melody,"['Em', 'F', 'C', 'G']",
12,19.0,120,4/4,brass_ensemble,cinematic,aminor,68,91,standard,4,commu00008.mid,sub_melody,"['C', 'Em', 'Am', 'G']",
13,20.0,120,4/4,brass_ensemble,cinematic,aminor,68,91,standard,4,commu00008.mid,sub_melody,"['Bm', 'G', 'A', 'G']",
14,21.0,120,4/4,brass_ensemble,cinematic,aminor,68,91,standard,4,commu00008.mid,sub_melody,"['D', 'Am', 'Em', 'G']",
15,22.0,120,4/4,brass_ensemble,cinematic,aminor,68,91,standard,4,commu00008.mid,sub_melody,"['Am', 'Em', 'C', 'G']",
16,23.0,120,4/4,string_violin,cinematic,cmajor,117,126,standard,8,commu00009.mid,riff,"['C', 'Dm', 'Am', 'C', 'C', 'Dm', 'Am', 'G']",
17,24.0,150,4/4,string_ensemble,cinematic,aminor,113,122,standard,8,commu00010.mid,accompaniment,"['Am', 'Am', 'F', 'F', 'C', 'C', 'E', 'E']",
18,25.0,60,4/4,string_ensemble,cinematic,aminor,21,22,triplet,4,commu00011.mid,main_melody,"['Am', 'Em', 'F', 'F']",
19,26.0,60,4/4,string_ensemble,cinematic,aminor,21,22,triplet,4,commu00011.mid,main_melody,"['Em', 'C', 'Em', 'Am']",
20,27.0,60,4/4,string_ensemble,cinematic,aminor,21,22,triplet,4,commu00011.mid,main_melody,"['Bm', 'Em', 'Bm', 'C']",
21,28.0,60,4/4,string_ensemble,cinematic,aminor,21,22,triplet,4,commu00011.mid,main_melody,"['Em', 'C', 'G', 'C']",
22,29.0,60,4/4,string_ensemble,cinematic,aminor,21,22,triplet,4,commu00011.mid,main_melody,"['Em', 'Am', 'Em', 'C']",
23,30.0,60,4/4,string_ensemble,cinematic,aminor,21,22,triplet,4,commu00011.mid,main_melody,"['C', 'Em', 'Am', 'F']",
24,31.0,60,4/4,string_ensemble,cinematic,aminor,21,22,triplet,4,commu00011.mid,main_melody,"['Em', 'Am', 'G', 'C']",
25,32.0,150,4/4,string_violin,cinematic,aminor,123,127,standard,8,commu00012.mid,riff,"['Am', 'Am', 'E', 'E', 'F', 'F', 'E', 'E']",
26,33.0,130,4/4,acoustic_piano-2,newage,cmajor,55,56,standard,4,commu00013.mid,pad,"['Am', 'F', 'C', 'G']",
27,34.0,60,4/4,string_ensemble,cinematic,aminor,41,42,standard,4,commu00014.mid,sub_melody,"['Am', 'F', 'C', 'C']",
28,35.0,60,4/4,string_ensemble,cinematic,aminor,41,42,standard,4,commu00014.mid,sub_melody,"['C', 'Am', 'Bm', 'Em']",
29,36.0,60,4/4,string_ensemble,cinematic,aminor,41,42,standard,4,commu00014.mid,sub_melody,"['C', 'C', 'Em', 'Em']",
30,37.0,60,4/4,string_ensemble,cinematic,aminor,41,42,standard,4,commu00014.mid,sub_melody,"['C', 'Am', 'G', 'C']",
31,38.0,60,4/4,string_ensemble,cinematic,aminor,41,42,standard,4,commu00014.mid,sub_melody,"['C', 'Am', 'Em', 'Em']",
32,39.0,60,4/4,string_ensemble,cinematic,aminor,41,42,standard,4,commu00014.mid,sub_melody,"['Am', 'C', 'G', 'C']",
33,40.0,60,4/4,string_ensemble,cinematic,aminor,41,42,standard,4,commu00014.mid,sub_melody,"['Am', 'G', 'G', 'Em']",
34,41.0,60,4/4,string_ensemble,cinematic,aminor,41,42,standard,4,commu00014.mid,sub_melody,"['C', 'F', 'E', 'Am']",
35,42.0,60,4/4,string_ensemble,cinematic,aminor,22,24,standard,4,commu00015.mid,pad,"['Am', 'Dm', 'E', 'Am', 'Am', 'Am', 'Am', 'Am']",
36,43.0,120,4/4,acoustic_piano,cinematic,cmajor,95,96,standard,4,commu00016_0_sample0.mid,pad,"['Em', 'C', 'G', 'D']",
37,44.0,110,4/4,celesta,cinematic,aminor,75,76,standard,8,commu00017.mid,main_melody,"['Dm', 'Am', 'A#', 'C', 'Dm', 'Am', 'A#', 'A']",
38,46.0,110,4/4,celesta,cinematic,aminor,75,76,standard,8,commu00017.mid,main_melody,"['D', 'Am', 'D', 'Am', 'Em', 'C', 'G', 'A']",
39,49.0,120,4/4,string_violin,cinematic,cmajor,115,116,standard,8,commu00018.mid,riff,"['C', 'C', 'C', 'F', 'Am', 'Am', 'G', 'G']",
40,50.0,150,4/4,brass_ensemble,cinematic,aminor,84,90,standard,8,commu00019.mid,main_melody,"['G', 'C', 'F', 'F', 'C', 'C', 'Am', 'G']",
41,51.0,150,4/4,brass_ensemble,cinematic,aminor,84,90,standard,8,commu00019.mid,main_melody,"['Dm', 'Am', 'A#', 'C', 'Dm', 'Am', 'A#', 'G']",
42,52.0,150,4/4,brass_ensemble,cinematic,aminor,84,90,standard,8,commu00019.mid,main_melody,"['F', 'Am', 'F', 'C', 'Em', 'Am', 'Em', 'Em']",
43,54.0,150,4/4,brass_ensemble,cinematic,aminor,84,90,standard,8,commu00019.mid,main_melody,"['Am', 'C', 'F', 'C', 'F', 'C', 'Am', 'G']",
44,55.0,150,4/4,brass_ensemble,cinematic,aminor,84,90,standard,8,commu00019.mid,main_melody,"['Am', 'G', 'F', 'F', 'C', 'C', 'Am', 'G']",
45,56.0,150,4/4,brass_ensemble,cinematic,aminor,84,90,standard,8,commu00019.mid,main_melody,"['C', 'Am', 'F', 'C', 'Em', 'Am', 'Em', 'Em']",
46,58.0,50,4/4,brass_ensemble,newage,cmajor,82,82,standard,4,commu00020_0_sample0.mid,pad,"['C', 'Dm', 'C', 'A#']",
47,59.0,135,4/4,bassoon-2,cinematic,cmajor,103,104,standard,7,commu00021.mid,main_melody,"['Am', 'G', 'F', 'C', 'Am', 'G', 'F', 'C']",
48,65.0,65,4/4,string_ensemble,newage,cmajor,55,58,standard,4,commu00023.mid,pad,"['F', 'Em', 'Dm', 'C']",
49,66.0,80,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00024.mid,main_melody,"['C', 'F', 'F', 'C', 'Am', 'F', 'Dm', 'C']",
50,67.0,80,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00024.mid,main_melody,"['Em', 'Dm', 'G', 'C', 'Am', 'F', 'Dm', 'C']",
51,68.0,80,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00024.mid,main_melody,"['Am', 'Dm', 'G', 'C', 'Am', 'F', 'Dm', 'C']",
52,70.0,80,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00024.mid,main_melody,"['C', 'F', 'G', 'F', 'F', 'F', 'C', 'C']",
53,71.0,80,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00024.mid,main_melody,"['Gm', 'Dm', 'F', 'C', 'Am', 'F', 'Dm', 'C']",
54,72.0,80,4/4,acoustic_piano,newage,cmajor,23,30,standard,8,commu00024.mid,main_melody,"['Em', 'F', 'F', 'Am', 'F', 'Dm', 'Dm', 'C']",
55,73.0,50,4/4,acoustic_piano,newage,aminor,71,72,standard,4,commu00025_0_sample0.mid,bass,"['D', 'E', 'D', 'C']",
56,74.0,60,4/4,string_ensemble,cinematic,aminor,21,22,standard,4,commu00026.mid,main_melody,"['F', 'Dm', 'Em', 'F']",
57,75.0,60,4/4,string_ensemble,cinematic,aminor,21,22,standard,4,commu00026.mid,main_melody,"['Am', 'Dm', 'C', 'F']",
58,76.0,60,4/4,string_ensemble,cinematic,aminor,21,22,standard,4,commu00026.mid,main_melody,"['Dm', 'Am', 'A#', 'C']",
59,77.0,60,4/4,string_ensemble,cinematic,aminor,21,22,standard,4,commu00026.mid,main_melody,"['F', 'G', 'Em', 'F']",
60,78.0,60,4/4,string_ensemble,cinematic,aminor,21,22,standard,4,commu00026.mid,main_melody,"['Am', 'C', 'G', 'F']",
61,79.0,60,4/4,string_ensemble,cinematic,aminor,21,22,standard,4,commu00026.mid,main_melody,"['Am', 'D', 'Em', 'C']",
62,80.0,60,4/4,string_ensemble,cinematic,aminor,21,22,standard,4,commu00026.mid,main_melody,"['Am', 'Dm', 'Am', 'F']",
